quality,quality,quality,quality,quality,quality,quality,quality,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
6599.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6599.0,11.426685861494189,7.50688852715743,-15.8,6.2,12.1,16.7,30.7,6599.0,78.09743900590999,15.152475253997487,28.0,68.0,81.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.869223744292203,6.216691976461767,-5.8,4.8,9.1,14.4,30.0,8760.0,78.77739726027397,14.85455583486014,20.0,70.0,82.0,91.0,100.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,9.136520947176662,7.224547670599296,-7.0,2.9,9.0,14.4,33.6,8784.0,79.39287340619308,15.355372100243178,25.0,70.0,83.0,92.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,10.01114155251143,6.9626681573222395,-11.8,4.9,10.2,15.0,30.2,8760.0,80.48721461187215,15.029949049322221,19.0,71.0,84.0,93.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.182317351598204,7.076042941841204,-15.7,4.8,9.649999999999999,14.0,30.4,8760.0,78.62077625570777,14.80342796365059,22.0,70.0,82.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.038812785388147,7.390963645352006,-9.3,3.2,9.2,14.5,29.0,8760.0,79.5316210045662,14.323976519913893,24.0,70.0,83.0,91.0,100.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,8.238171675774092,7.768933680313094,-17.1,3.6,8.9,13.7,30.2,8784.0,80.78904826958106,14.087671790044844,30.0,72.0,84.0,92.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.943915525114171,6.363061067327101,-6.2,5.4,9.8,14.0,34.6,8760.0,78.95376712328768,15.167566073282392,19.0,70.0,82.0,91.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.600331050228379,6.9834870309074795,-7.4,3.9,9.7,14.8,30.8,8760.0,80.20171232876713,14.311734017889675,26.0,71.0,84.0,92.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,10.667020547945187,7.338028402303063,-6.6,5.4,10.0,15.9,34.0,8760.0,73.97431506849315,18.02272170475477,19.0,62.0,78.0,89.0,100.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,9.8071835154827,6.515223038735447,-14.0,5.3,10.1,14.4,29.3,8784.0,79.10997267759562,14.776792991431813,25.0,70.0,83.0,91.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,10.373219178082174,6.727411174073999,-10.5,6.0,10.6,14.8,32.1,8760.0,79.47625570776256,14.33049413415058,27.0,70.0,83.0,91.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,8.28331050228316,6.926860739371137,-11.5,3.3,8.2,13.4,29.6,8760.0,79.16803652968036,14.254382637967366,24.0,70.0,82.0,91.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,8.32043378995437,8.327799861029119,-16.9,2.5,10.0,14.2,30.5,8760.0,78.96541095890412,14.86837066106826,23.0,70.0,83.0,91.0,100.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,9.626320582877923,7.63568444563717,-10.9,3.7,9.0,15.2,34.9,8784.0,77.06056466302368,16.659777701238653,23.0,66.0,81.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,8.884531963470293,6.559218977014676,-8.1,3.7,9.3,13.8,28.3,8760.0,79.90011415525115,14.37911489181515,19.0,71.0,84.0,91.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.768858447488546,6.969499914201548,-13.4,4.7,10.3,14.7,31.8,8760.0,79.61506849315069,14.325103375058712,25.0,71.0,83.0,91.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,10.037374429223721,6.82585398586577,-7.9,5.0,9.8,15.0,31.6,8760.0,77.05867579908676,15.205731671814497,18.0,67.0,80.0,90.0,100.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,9.325671675774094,7.2142259001498985,-11.8,3.5,10.3,14.7,33.0,8784.0,79.14310109289617,15.77138390798384,16.0,70.0,83.0,92.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.558801369862975,7.725048490254074,-10.9,3.6,9.7,15.1,31.8,8760.0,78.27671232876712,15.417155754329803,16.0,70.0,82.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.404041095890392,7.345973645365353,-10.6,4.1,9.7,14.6,29.5,8760.0,79.59885844748858,14.555241346102092,17.0,71.0,83.0,91.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.911141552511443,7.021939202349159,-11.4,4.975,9.6,15.2,29.6,8760.0,76.61038812785388,16.355890571108578,23.0,66.0,80.0,90.0,100.0
8784.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8784.0,9.31099726775956,6.124189877705905,-10.7,5.0,9.0,13.4,31.7,8784.0,77.69045992714025,14.838449799628583,22.0,67.0,81.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,9.71592465753423,7.335992657854132,-9.8,3.8,8.5,15.2,31.4,8760.0,76.86929223744292,16.393826439778472,20.0,67.0,81.0,90.0,100.0
8760.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,8760.0,10.026335616438406,5.69010227373132,-3.7,5.9,9.1,14.0,31.8,8760.0,77.94577625570776,15.033331478412203,23.0,69.0,81.0,90.0,100.0
