Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  2486;  233.00; 49.4443;  7.7719;18430101;18700430;Kaiserslautern
  2486;  236.20; 49.4480;  7.7689;18700501;19190211;Kaiserslautern
  2486;  230.00; 49.4463;  7.7663;19190212;19390714;Kaiserslautern
  2486;  303.00; 49.4571;  7.7725;19390715;19500731;Kaiserslautern
  2486;  280.00; 49.4523;  7.7750;19500801;19520622;Kaiserslautern
  2486;  304.00; 49.4571;  7.7725;19520623;19530731;Kaiserslautern
  2486;  280.00; 49.4312;  7.7657;19530801;19650315;Kaiserslautern
  2486;  255.00; 49.4481;  7.7969;19650316;19650630;Kaiserslautern
  2486;  250.00; 49.4453;  7.7511;19650701;19650831;Kaiserslautern
  2486;  249.00; 49.4277;  7.6560;19650901;19700824;Kaiserslautern
  2486;  248.00; 49.4507;  7.7811;19700825;19940630;Kaiserslautern
  2486;  281.00; 49.4241;  7.7361;19980901;20000131;Kaiserslautern
  2486;  271.00; 49.4262;  7.7557;20030612;        ;Kaiserslautern
