STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       3170;2002010112;    3;   3.1;  85.0;eor
       3170;2002010115;   10;   3.5;  87.0;eor
       3170;2002010118;    3;   4.3;  83.0;eor
       3170;2002010203;   10;   3.0;  74.0;eor
       3170;2002010206;   10;   2.6;  73.0;eor
       3170;2002010209;   10;   0.2;  71.0;eor
       3170;2002010212;   10;  -1.2;  75.0;eor
       3170;2002010215;   10;  -1.3;  71.0;eor
       3170;2002010218;   10;  -2.3;  72.0;eor
       3170;2002010221;   10;  -1.9;  75.0;eor
       3170;2002010300;   10;  -2.2;  75.0;eor
       3170;2002010306;   10;  -1.9;  75.0;eor
       3170;2002010312;   10;   0.2;  70.0;eor
       3170;2002010315;   10;  -1.9;  73.0;eor
       3170;2002010321;   10;  -3.9;  81.0;eor
       3170;2002010400;   10;  -5.1;  86.0;eor
       3170;2002010406;   10;  -6.9;  88.0;eor
       3170;2002010409;   10;  -4.7;  81.0;eor
       3170;2002010421;   10;  -6.8;  85.0;eor
       3170;2002010500;    3;  -5.1;  76.0;eor
       3170;2002010503;   10;  -5.5;  76.0;eor
       3170;2002010512;   10;  -1.0;  68.0;eor
       3170;2002010515;   10;  -1.3;  74.0;eor
       3170;2002010521;   10;   1.0;  86.0;eor
       3170;2002010606;   10;   2.0;  94.0;eor
       3170;2002010612;   10;   3.4;  96.0;eor
       3170;2002010615;   10;   3.9;  92.0;eor
       3170;2002010621;   10;   3.4;  88.0;eor
       3170;2002010700;   10;   2.6;  90.0;eor
       3170;2002010703;   10;   1.7;  95.0;eor
       3170;2002010706;   10;   0.9;  96.0;eor
       3170;2002010721;   10;   0.3;  97.0;eor
       3170;2002010803;   10;   1.6;  92.0;eor
       3170;2002010812;   10;   3.4;  84.0;eor
       3170;2002010815;   10;   3.0;  85.0;eor
       3170;2002010818;   10;   2.5;  88.0;eor
       3170;2002010906;   10;   1.1;  92.0;eor
       3170;2002010909;   10;   0.7;  93.0;eor
       3170;2002010921;   10;   0.5;  96.0;eor
       3170;2002011000;   10;   1.1;  92.0;eor
       3170;2002011003;   10;   0.9;  94.0;eor
       3170;2002011112;   10;  -0.5;  97.0;eor
       3170;2002011115;   10;  -0.4;  95.0;eor
       3170;2002011118;   10;   0.2;  95.0;eor
       3170;2002011206;   10;   0.8;  97.0;eor
       3170;2002011209;   10;   0.7;  94.0;eor
       3170;2002011221;   10;   0.3;  93.0;eor
       3170;2002011300;   10;   1.3;  97.0;eor
       3170;2002011303;   10;   0.7;  98.0;eor
       3170;2002011312;   10;   1.1;  99.0;eor
       3170;2002011315;   10;   1.0;  96.0;eor
       3170;2002011318;   10;   0.2;  96.0;eor
       3170;2002011406;    3;  -0.4;  99.0;eor
       3170;2002011409;    3;  -0.3;  99.0;eor
       3170;2002011412;    3;   0.3;  96.0;eor
       3170;2002011415;    3;  -0.4;  98.0;eor
       3170;2002011418;    3;   0.1;  97.0;eor
       3170;2002011421;    3;  -0.6;  99.0;eor
       3170;2002011500;    3;  -0.3;  99.0;eor
       3170;2002011503;   10;  -0.3;  98.0;eor
       3170;2002011509;   10;   0.0;  93.0;eor
       3170;2002011521;   10;  -0.7;  90.0;eor
       3170;2002011600;   10;  -1.1;  92.0;eor
       3170;2002011603;   10;  -1.3;  96.0;eor
       3170;2002011712;   10;   3.1;  93.0;eor
       3170;2002011715;   10;   3.1;  91.0;eor
       3170;2002011718;   10;   2.6;  90.0;eor
       3170;2002011806;   10;   2.8;  90.0;eor
       3170;2002011809;   10;   3.0;  94.0;eor
       3170;2002011821;   10;   3.3;  95.0;eor
       3170;2002011900;   10;   3.3;  94.0;eor
       3170;2002011903;   10;   2.9;  90.0;eor
       3170;2002011912;   10;   3.2;  94.0;eor
       3170;2002011915;   10;   5.0;  93.0;eor
       3170;2002011918;   10;   5.4;  84.0;eor
       3170;2002012006;   10;   4.5;  90.0;eor
       3170;2002012009;   10;   3.8;  91.0;eor
       3170;2002012021;   10;   7.1;  91.0;eor
       3170;2002012112;   10;   7.1;  85.0;eor
       3170;2002012115;   10;   7.0;  91.0;eor
       3170;2002012118;   10;   7.9;  92.0;eor
       3170;2002012209;   10;   5.7;  89.0;eor
       3170;2002012221;   10;   6.1;  80.0;eor
       3170;2002012300;   10;   5.8;  82.0;eor
       3170;2002012303;   10;   5.8;  83.0;eor
       3170;2002012309;   10;   6.3;  85.0;eor
       3170;2002012412;   10;   7.7;  83.0;eor
       3170;2002012415;   10;   9.0;  85.0;eor
       3170;2002012418;   10;   7.0;  90.0;eor
       3170;2002012506;   10;   1.6;  85.0;eor
       3170;2002012515;   10;   3.7;  74.0;eor
       3170;2002012518;   10;   1.9;  84.0;eor
       3170;2002012521;   10;   2.5;  79.0;eor
       3170;2002012606;   10;   5.5;  96.0;eor
       3170;2002012609;   10;   7.5;  87.0;eor
       3170;2002012615;   10;   8.5;  83.0;eor
       3170;2002012618;   10;   8.1;  90.0;eor
       3170;2002012621;   10;   8.4;  91.0;eor
       3170;2002012700;   10;   8.0;  85.0;eor
       3170;2002012703;   10;   7.7;  85.0;eor
       3170;2002012912;   10;   7.1;  91.0;eor
       3170;2002012915;   10;   6.5;  90.0;eor
       3170;2002012918;   10;   7.3;  85.0;eor
       3170;2002013006;   10;   5.9;  83.0;eor
       3170;2002013012;   10;   7.7;  82.0;eor
       3170;2002013015;   10;   7.6;  88.0;eor
       3170;2002013018;   10;   8.5;  86.0;eor
       3170;2002013021;   10;   9.1;  85.0;eor
       3170;2002013100;   10;   9.0;  87.0;eor
       3170;2002013103;   10;  10.0;  82.0;eor
       3170;2002013106;   10;   8.6;  92.0;eor
       3170;2002013109;   10;   6.9;  92.0;eor
       3170;2002013121;   10;   5.3;  85.0;eor
       3170;2002020100;    3;   6.3;  81.0;eor
       3170;2002020312;    3;  10.4;  68.0;eor
       3170;2002020315;    3;  10.7;  71.0;eor
       3170;2002020406;    3;   7.3;  70.0;eor
       3170;2002020421;    3;   5.9;  85.0;eor
       3170;2002020500;    3;   6.7;  80.0;eor
       3170;2002020503;    3;   6.1;  85.0;eor
       3170;2002020506;    3;   6.5;  90.0;eor
       3170;2002020509;    3;   7.3;  93.0;eor
       3170;2002020518;    3;   9.7;  90.0;eor
       3170;2002020521;    3;   9.1;  87.0;eor
       3170;2002020600;    3;   8.3;  92.0;eor
       3170;2002020603;    3;   6.6;  94.0;eor
       3170;2002020706;    3;   6.0;  86.0;eor
       3170;2002020709;    3;   6.5;  87.0;eor
       3170;2002020712;    3;   7.2;  82.0;eor
       3170;2002020715;    3;   6.1;  73.0;eor
       3170;2002020812;    3;   8.4;  81.0;eor
       3170;2002020815;    3;   8.2;  76.0;eor
       3170;2002020821;    3;   6.5;  82.0;eor
       3170;2002020900;    3;   6.7;  93.0;eor
       3170;2002020903;    3;   8.7;  92.0;eor
       3170;2002020906;    3;   9.3;  93.0;eor
       3170;2002020909;    3;  10.3;  82.0;eor
       3170;2002020921;    3;   6.5;  81.0;eor
       3170;2002021000;    3;   6.4;  77.0;eor
       3170;2002021003;    3;   6.1;  86.0;eor
       3170;2002021012;    3;   7.4;  79.0;eor
       3170;2002021015;    3;   7.5;  78.0;eor
       3170;2002021018;    3;   5.9;  87.0;eor
       3170;2002021106;    3;   7.3;  97.0;eor
       3170;2002021109;    3;   8.7;  93.0;eor
       3170;2002021115;    3;   9.3;  93.0;eor
       3170;2002021118;    3;   9.1;  88.0;eor
       3170;2002021121;    3;   9.6;  81.0;eor
       3170;2002021200;    3;   8.6;  85.0;eor
       3170;2002021203;    3;   8.4;  87.0;eor
       3170;2002021206;    3;   8.1;  79.0;eor
       3170;2002021209;    3;   8.8;  81.0;eor
       3170;2002021221;    3;   5.8;  80.0;eor
       3170;2002021303;    3;   4.1;  87.0;eor
       3170;2002021415;    3;   3.8;  64.0;eor
       3170;2002021418;    3;   2.6;  69.0;eor
       3170;2002021506;    3;  -1.3;  88.0;eor
       3170;2002021521;    3;   2.4;  87.0;eor
       3170;2002021600;    3;   4.2;  91.0;eor
       3170;2002021603;    3;   2.7;  90.0;eor
       3170;2002021615;    3;   4.3;  74.0;eor
       3170;2002021618;    3;   1.1;  83.0;eor
       3170;2002021706;    3;  -0.7;  94.0;eor
       3170;2002021709;    3;   1.3;  98.0;eor
       3170;2002021721;    3;   0.7;  85.0;eor
       3170;2002021800;    3;  -0.3;  92.0;eor
       3170;2002021803;    3;   0.8;  96.0;eor
       3170;2002021812;    3;   4.1;  98.0;eor
       3170;2002021818;    3;   3.6;  85.0;eor
       3170;2002021906;    3;   3.7;  94.0;eor
       3170;2002021921;    3;   1.7;  79.0;eor
       3170;2002022009;    3;   1.8;  96.0;eor
       3170;2002022100;    3;   2.8;  78.0;eor
       3170;2002022112;    3;   1.0;  64.0;eor
       3170;2002022115;    3;   1.5;  58.0;eor
       3170;2002022118;    3;  -1.1;  68.0;eor
       3170;2002022206;    3;  -0.3;  95.0;eor
       3170;2002022209;    3;   0.3;  98.0;eor
       3170;2002022221;    3;   3.9;  80.0;eor
       3170;2002022300;    3;   2.3;  80.0;eor
       3170;2002022412;    3;   3.3;  71.0;eor
       3170;2002022415;    3;   2.5;  71.0;eor
       3170;2002022506;    3;   0.3;  93.0;eor
       3170;2002022512;    3;   3.1;  85.0;eor
       3170;2002022515;    3;   3.8;  75.0;eor
       3170;2002022518;    3;   2.3;  82.0;eor
       3170;2002022521;    3;   1.5;  90.0;eor
       3170;2002022603;    3;   4.9;  97.0;eor
       3170;2002022606;    3;   6.3;  94.0;eor
       3170;2002022609;    3;   6.7;  95.0;eor
       3170;2002022621;    3;   6.7;  79.0;eor
       3170;2002022700;    3;   6.3;  72.0;eor
       3170;2002022703;    3;   4.9;  81.0;eor
       3170;2002022712;    3;   5.3;  76.0;eor
       3170;2002022715;    3;   7.3;  61.0;eor
       3170;2002022718;    3;   4.1;  72.0;eor
       3170;2002022806;    3;   2.4;  90.0;eor
       3170;2002022809;    3;   4.7;  83.0;eor
       3170;2002022821;    3;   3.8;  82.0;eor
