Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5715;Wunstorf;TT_TU;29.09.2018-00:00;29.09.2018-00:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;02.10.2018-13:00;02.10.2018-13:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;18.10.2018-04:00;18.10.2018-04:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;23.12.2018-05:00;23.12.2018-05:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;01.03.2019-17:00;01.03.2019-17:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;23.03.2019-04:00;23.03.2019-04:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;02.05.2019-19:00;02.05.2019-19:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;02.05.2019-21:00;02.05.2019-21:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;04.05.2019-01:00;04.05.2019-01:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;27.05.2019-22:00;27.05.2019-22:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;17.06.2019-00:00;17.06.2019-01:00;2;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;16.07.2019-12:00;16.07.2019-16:00;5;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;10.08.2019-16:00;10.08.2019-16:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;18.09.2019-05:00;18.09.2019-05:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;02.11.2019-17:00;02.11.2019-17:00;1;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;08.11.2019-21:00;08.11.2019-22:00;2;;eor;                                                                                                                                           
5715;Wunstorf;TT_TU;05.02.2020-17:00;05.02.2020-17:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;29.09.2018-00:00;29.09.2018-00:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;02.10.2018-13:00;02.10.2018-13:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;18.10.2018-04:00;18.10.2018-04:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;23.12.2018-05:00;23.12.2018-05:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;01.03.2019-17:00;01.03.2019-17:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;23.03.2019-04:00;23.03.2019-04:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;02.05.2019-19:00;02.05.2019-19:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;02.05.2019-21:00;02.05.2019-21:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;04.05.2019-01:00;04.05.2019-01:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;27.05.2019-22:00;27.05.2019-22:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;17.06.2019-00:00;17.06.2019-01:00;2;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;16.07.2019-12:00;16.07.2019-16:00;5;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;10.08.2019-16:00;10.08.2019-16:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;18.09.2019-05:00;18.09.2019-05:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;02.11.2019-17:00;02.11.2019-17:00;1;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;08.11.2019-21:00;08.11.2019-22:00;2;;eor;                                                                                                                                           
5715;Wunstorf;RF_TU;05.02.2020-17:00;05.02.2020-17:00;1;;eor;                                                                                                                                           
generiert: 27.03.2020 --  Deutscher Wetterdienst  --                                                                                                                                                    
