Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  1297;  170.00; 51.1868; 10.0494;18881101;18921231;Eschwege
  1297;  160.00; 51.1902; 10.0533;18930101;18961231;Eschwege
  1297;  186.00; 51.1868; 10.0494;18970101;19270608;Eschwege
  1297;  170.00; 51.1837; 10.0628;19270609;19660531;Eschwege
  1297;  215.00; 51.1837; 10.0395;19660601;19720331;Eschwege
  1297;  218.00; 51.1835; 10.0400;19720401;19771004;Eschwege
  1297;  188.00; 51.1882; 10.0402;19771005;19780822;Eschwege
  1297;  205.00; 51.1793; 10.0665;19780823;19900331;Eschwege
  1297;  170.00; 51.1837; 10.0628;19900401;20040930;Eschwege
  1297;  156.00; 51.2041; 10.0138;20041001;        ;Eschwege
