STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       1473;2018092300;    3;  10.5;  87.0;eor
       1473;2018092301;    3;   9.9;  88.0;eor
       1473;2018092302;    3;  10.4;  83.0;eor
       1473;2018092303;    3;  10.9;  81.0;eor
       1473;2018092304;    3;  10.9;  85.0;eor
       1473;2018092305;    3;  10.5;  93.0;eor
       1473;2018092306;    3;  10.4;  98.0;eor
       1473;2018092307;    3;  11.1;  97.0;eor
       1473;2018092308;    3;  12.9;  93.0;eor
       1473;2018092309;    3;  14.5;  92.0;eor
       1473;2018092310;    3;  17.8;  80.0;eor
       1473;2018092311;    3;  19.0;  78.0;eor
       1473;2018092312;    3;  18.6;  82.0;eor
       1473;2018092313;    3;  19.9;  78.0;eor
       1473;2018092314;    3;  22.2;  69.0;eor
       1473;2018092315;    3;  22.8;  62.0;eor
       1473;2018092316;    3;  22.7;  62.0;eor
       1473;2018092317;    3;  22.4;  62.0;eor
       1473;2018092318;    3;  13.4;  95.0;eor
       1473;2018092319;    3;  13.3;  95.0;eor
       1473;2018092320;    3;  13.0;  91.0;eor
       1473;2018092321;    3;  10.3;  95.0;eor
       1473;2018092322;    3;   8.8;  88.0;eor
       1473;2018092323;    3;   8.3;  87.0;eor
       1473;2018092400;    3;   7.7;  83.0;eor
       1473;2018092401;    3;   7.2;  82.0;eor
       1473;2018092402;    3;   7.1;  88.0;eor
       1473;2018092403;    3;   7.2;  88.0;eor
       1473;2018092404;    3;   6.6;  90.0;eor
       1473;2018092405;    3;   6.8;  88.0;eor
       1473;2018092406;    3;   6.7;  89.0;eor
       1473;2018092407;    3;   7.2;  83.0;eor
       1473;2018092408;    3;   7.9;  78.0;eor
       1473;2018092409;    3;   8.7;  73.0;eor
       1473;2018092410;    3;   9.8;  68.0;eor
       1473;2018092411;    3;  10.7;  58.0;eor
       1473;2018092412;    3;  11.3;  58.0;eor
       1473;2018092413;    3;  11.5;  56.0;eor
       1473;2018092414;    3;  12.2;  52.0;eor
       1473;2018092415;    3;  11.4;  53.0;eor
       1473;2018092416;    3;  11.6;  50.0;eor
       1473;2018092417;    3;   9.9;  58.0;eor
       1473;2018092418;    3;   8.4;  65.0;eor
